"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-04-15",NA,12,9.3,NA,98.4,9,4,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-04-15",NA,6.5,9.7,NA,107,4,3,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-04-15",NA,6.5,7,NA,128.5,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-04-15",NA,3.1,7.1,NA,110,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-04-15","field duplicate",2.2,6.1,NA,107.9,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-04-30",NA,4.4,3.7,NA,114.2,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-05-15",NA,10.2,2.4,NA,98.6,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-05-15",NA,0,6.4,NA,99,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-05-15",NA,12.9,3.3,NA,100.1,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-05-15",NA,7.5,2.4,NA,99.2,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-05-15",NA,20.4,2.6,NA,87.9,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-05-15",NA,21.1,0,NA,94.3,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-05-15","field duplicate",24.2,2.7,NA,94.2,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-05-15",NA,14.4,2.1,NA,101.2,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-05-16",NA,0,0,NA,99.7,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-05-16",NA,6.2,5.3,NA,113.9,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-05-16",NA,4.4,2.9,NA,104.9,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-05-16",NA,0,4.8,NA,99.6,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-05-16",NA,11.8,3.1,NA,98.1,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-05-16",NA,6.4,7.1,NA,78.6,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-05-16",NA,0,0,NA,107,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-05-16",NA,0,5.9,NA,104.2,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-05-17","field blank",0,0,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-05-17","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-05-17",NA,8.8,5.7,NA,105.6,7,3,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-05-17",NA,9.4,5.5,NA,107.3,5,2,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-05-17",NA,12.6,7.5,NA,114.6,5,2,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-05-17",NA,11.7,9.1,NA,106.9,5,3,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-05-17",NA,9.7,5.2,NA,112,6,2,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-05-17",NA,8.8,5.6,NA,111.9,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-05-17",NA,9.5,4.3,NA,99.4,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2000-05-17",NA,10.5,7.2,NA,104.5,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-05-17",NA,0,6.3,NA,95.8,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-05-17","field duplicate",0,7.2,NA,101.5,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-05-30",NA,0,4.3,NA,112,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-06-13",NA,12.3,3.5,NA,96,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-06-13",NA,0,2.7,NA,121,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-06-13",NA,14.3,2.6,NA,126,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-06-13",NA,10.8,2.8,NA,120,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-06-13",NA,18.6,0,NA,133,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-06-13",NA,25.3,3.9,NA,104,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-06-13","field duplicate",20.9,3.7,NA,109,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-06-13",NA,15.7,2.3,NA,110,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-06-14",NA,0,2.2,NA,106,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-06-14",NA,3.7,0,NA,106,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-06-14",NA,0,0,NA,105,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-06-14",NA,0,0,NA,101,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-06-14",NA,24.1,4.9,NA,126,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-06-14",NA,17.4,4.5,NA,115,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-06-14",NA,0,3,NA,137,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-06-14",NA,4.8,5.1,NA,137,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-06-15","field blank",0,0,NA,132,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-06-15","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-06-15",NA,12.5,4.6,NA,127,8,2,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-06-15",NA,11.6,3.7,NA,135,7,2,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-06-15",NA,11.2,4.5,NA,115,8,3,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-06-15",NA,11.9,5.3,NA,115,10,3,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-06-15",NA,8.5,3,NA,114,7,2,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-06-15",NA,9,2.5,NA,102,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-06-15",NA,14.1,4.1,NA,106,NA,NA,NA
"R22","AZ Canal - 56th St. (Indian School Road)","srp","az canal @ 56th st.","2000-06-15",NA,11.7,3.6,NA,109,NA,NA,NA
"R23","AZ Canal - 48th St. (Indian School Rd)","srp","az canal @ 48th st.","2000-06-15",NA,19.2,3.8,NA,113,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-06-15",NA,0,2.2,NA,146,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-06-15","field duplicate",0,0,NA,102,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-06-30",NA,7.5,39.2,NA,112,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-07-18",NA,6.3,0,NA,112,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-07-18",NA,6.4,0,NA,103,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-07-18",NA,7.3,0,NA,139,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-07-18",NA,3.5,0,NA,127,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-07-18",NA,37.8,109,NA,119,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-07-18",NA,40.1,0,NA,115,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-07-18",NA,2.9,0,NA,104,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-07-18",NA,5.9,5.5,NA,127,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-07-19","field blank",0,0,NA,142,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-07-19","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-07-19",NA,15,3.3,NA,123,10,3,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-07-19",NA,8.3,2.2,NA,96,7,2,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-07-19",NA,19,5.7,NA,98,12,4,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-07-19",NA,14,3.2,NA,85,15,5,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-07-19",NA,17.6,2.5,NA,109,10,2,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-07-19",NA,0,2.8,NA,89,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-07-19",NA,16.7,13.6,NA,147,NA,NA,NA
"R22","AZ Canal - 56th St. (Indian School Road)","srp","az canal @ 56th st.","2000-07-19",NA,13,2.8,NA,112,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19",NA,2.5,0,NA,111,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19","field duplicate",3.3,0,NA,121,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-07-20",NA,18.7,2.4,NA,105,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-07-20",NA,2.2,0,NA,99,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-07-20",NA,20,2.1,NA,106,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-07-20",NA,16.2,0,NA,124,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-07-20",NA,15.3,0,NA,102,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-07-20",NA,38.5,2.7,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-07-20","field duplicate",26.6,0,NA,113,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-07-20",NA,20.1,0,NA,115,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-07-27",NA,87.7,6.6,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-08-15",NA,8.9,7,NA,107,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-08-15",NA,14.3,4.3,NA,102,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-08-15",NA,16.5,2.4,NA,119,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-08-15",NA,2.6,3.4,NA,112,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-08-15",NA,16.8,0,NA,84,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-08-15",NA,54.2,2.4,NA,111,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-08-15",NA,32.2,3,NA,105,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-08-15",NA,7.1,7.1,NA,106,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-08-16",NA,14.2,3.5,NA,89,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-08-16",NA,2.6,4.2,NA,91,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-08-16",NA,15.7,4.1,NA,98,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-08-16",NA,10.1,4.1,NA,103,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-08-16",NA,34.6,5.2,NA,107,NA,NA,NA
"R9@10m","Saguaro Lake near inlet","salt","saguaro-epi","2000-08-16","extra sample",40.1,2.5,NA,112,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-08-16",NA,43.6,4.5,NA,97,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-08-16","field duplicate",37.2,3.3,NA,109,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-08-16",NA,16,2.7,NA,103,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-08-17","field blank",0,0,NA,89,NA,NA,NA
"field_spike","field spike",NA,NA,"2000-08-17","field spike",93.6,99.2,NA,95,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-08-17","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-08-17",NA,14.8,5.4,NA,104,15,5,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-08-17",NA,8.9,3.6,NA,78,10,4,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-08-17",NA,51.5,7.1,NA,91,51,7,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-08-17",NA,42.6,6.7,NA,91,35,6,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-08-17",NA,10.5,6.7,NA,89,9,6,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-08-17",NA,9.4,6.9,NA,89,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-08-17",NA,17.9,8.2,NA,91,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2000-08-17",NA,10.7,4.4,NA,94,NA,NA,NA
"R24","culvert at central and griswold","srp","central & griswold","2000-08-17",NA,18.1,7.7,NA,105,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-08-17",NA,2.6,3.1,NA,84,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-08-17","field duplicate",0,2.7,NA,66,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2000-08-18","extra sample",22.4,4.2,NA,106,NA,NA,NA
"R5ex","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-08-23","extra sample",25.3,6.2,NA,100,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-08-30",NA,11.5,5.1,NA,93,NA,NA,NA
"R5ex","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-08-31","extra sample",12.9,2.7,NA,102,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-09-12",NA,10.4,3.8,NA,94,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-09-12",NA,13.2,0,NA,85,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-09-12",NA,14.2,0,NA,99,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-09-12",NA,10,0,NA,99,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-09-12",NA,4.4,5.1,NA,92,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-09-12",NA,24.5,0,NA,97,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-09-12",NA,16.7,0,NA,94,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-09-12",NA,13.3,5,NA,74,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-09-13",NA,20,2.9,NA,70,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-09-13",NA,7.2,0,NA,81,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-09-13",NA,65,7,NA,99,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-09-13",NA,9.1,0,NA,77,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-09-13",NA,25.6,3.6,NA,82,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-09-13",NA,36,3.1,NA,86,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-09-13","field duplicate",32.7,2.8,NA,91,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-09-13",NA,21,2.2,NA,65,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-09-14","field blank",0,0,NA,97,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-09-14","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-09-14",NA,21.6,5.4,NA,89,17,5,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-09-14",NA,18.5,5.3,NA,101,15,4,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-09-14",NA,64,14.5,NA,84,52,15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-09-14",NA,48.3,9.7,NA,85,37,9,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-09-14",NA,27.4,5.1,NA,86,30,5,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-09-14",NA,12,2.2,NA,80,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-09-14",NA,32,12.1,NA,95,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2000-09-14",NA,13.2,3.5,NA,93,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-09-14",NA,9.7,0,NA,93,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-09-14","field duplicate",9.2,2.2,NA,96,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-09-30",NA,9,9.5,NA,102,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2000-10-10","extra sample",19.2,3.9,NA,102,NA,NA,NA
"R25ex","verde river at beeline highway","verde","verde @ beeline","2000-10-10","extra sample",18.7,3.9,NA,101,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-10-17",NA,10.4,2.5,NA,102,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-10-17",NA,6.6,0,NA,96,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-10-17",NA,6.8,0,NA,100,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-10-17",NA,8.7,0,NA,102,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-10-17",NA,3.1,2.3,NA,100,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-10-17",NA,5.7,0,NA,100,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-10-17",NA,13.1,2.7,NA,103,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-10-17",NA,14.1,4.4,NA,102,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-10-18",NA,24.4,2.8,NA,102,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-10-18",NA,6.9,2.7,NA,98,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-10-18",NA,38.4,2.8,NA,95,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-10-18",NA,20.4,2.9,NA,101,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-10-18",NA,23.4,3.4,NA,98,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-10-18",NA,18.4,2.4,NA,107,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-10-18","field duplicate",19.6,2.7,NA,96,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-10-18",NA,18.4,3.3,NA,99,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-10-19","field blank",0,0,NA,97,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-10-19","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-10-19",NA,26,6.6,NA,103,29,9,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-10-19",NA,21.6,5.1,NA,101,25,6,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-10-19",NA,46.5,12.9,NA,107,37,15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-10-19",NA,44.1,15.5,NA,105,34,18,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-10-19",NA,16.9,4.2,NA,102,20,3,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-10-19",NA,3.3,0,NA,100,NA,NA,NA
"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","2000-10-19",NA,23,8.8,NA,105,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2000-10-19",NA,20.2,3.9,NA,111,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-10-19",NA,4.9,2.5,NA,100,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-10-19","field duplicate",4.7,2.2,NA,94,NA,NA,NA
"R10rain","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-10-26","rain sample",36.7,4.6,NA,100,NA,NA,NA
"R11rain","CAP Canal at Cross-connect","cap","cap @ x con","2000-10-26","rain sample",14.2,6.3,NA,103,NA,NA,NA
"R12rain","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-10-26","rain sample",39.7,3.7,NA,102,NA,NA,NA
"R13rain","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-10-26","rain sample",24.2,4.7,NA,103,NA,NA,NA
"R25rain","verde river at beeline highway","verde","verde @ beeline","2000-10-26","rain sample",19,4.6,NA,99,NA,NA,NA
"R10rain","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-10-28","rain sample",18.3,3.1,NA,95,NA,NA,NA
"R11rain","CAP Canal at Cross-connect","cap","cap @ x con","2000-10-28","rain sample",12,7.4,NA,97,NA,NA,NA
"R25rain","verde river at beeline highway","verde","verde @ beeline","2000-10-28","rain sample",18.2,8.9,NA,104,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-10-30",NA,5.7,0,NA,97,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-11-14",NA,3.6,0,NA,88,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-11-14",NA,3.3,0,NA,106,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-11-14",NA,3.1,0,NA,106,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-11-14",NA,2.8,0,NA,95,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-11-14",NA,7.6,0,NA,86,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-11-14",NA,0,0,NA,82,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-11-14",NA,0,0,NA,85,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-11-14",NA,3.2,0,NA,72,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-11-15",NA,11,0,NA,79,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-11-15",NA,4.7,6.5,NA,92,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-11-15",NA,21.8,0,NA,97,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-11-15",NA,11.9,0,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-11-15",NA,10.8,0,NA,109,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-11-15",NA,3.7,0,NA,89,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-11-15","field duplicate",4,0,NA,92,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-11-15",NA,4.4,0,NA,103,NA,NA,NA
