site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
R11,CAP Canal at Cross-connect,cap,cap @ x con,3/2/2015,NA,995,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/2/2015,NA,986,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/2/2015,NA,911,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,3/2/2015,NA,623,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/2/2015,NA,916,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/2/2015,NA,927,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,3/2/2015,NA,622,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/2/2015,NA,975,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/2/2015,NA,993,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,3/2/2015,NA,986,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/2/2015,NA,595,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/2/2015,NA,462,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/2/2015,NA,1711,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,3/2/2015,NA,1708,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/2/2015,NA,1710,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,3/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,3/2/2015,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,3/2/2015,NA,709,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/2/2015,NA,1257,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,3/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,4/6/2015,NA,990,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,4/6/2015,NA,1238,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,4/6/2015,NA,608,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,4/6/2015,NA,741,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,4/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,4/6/2015,NA,927,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/6/2015,NA,905,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/6/2015,NA,597,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,4/6/2015,NA,1010,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,4/6/2015,NA,1315,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/6/2015,NA,591,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/6/2015,NA,1765,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,4/6/2015,NA,997,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/6/2015,NA,996,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/6/2015,NA,729,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/6/2015,NA,613,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,4/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/6/2015,NA,612,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/6/2015,NA,617,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,4/6/2015,NA,473,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/6/2015,NA,969,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/6/2015,NA,994,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,4/6/2015,NA,989,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/6/2015,NA,556,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/6/2015,NA,450,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/6/2015,NA,1714,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,4/6/2015,NA,1717,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/6/2015,NA,1717,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,4/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,4/6/2015,NA,1009,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/6/2015,NA,478,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/6/2015,NA,1094,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,4/6/2015,NA,1005,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,5/4/2015,NA,997,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,5/4/2015,NA,1133,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,5/4/2015,NA,1043,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,5/4/2015,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,5/4/2015,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/4/2015,NA,1085,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/4/2015,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,5/4/2015,NA,1057,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/4/2015,NA,1071,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/4/2015,NA,1049,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/4/2015,NA,1706,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,5/4/2015,NA,999,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/4/2015,NA,999,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/4/2015,NA,1011,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/4/2015,NA,1055,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/4/2015,NA,1067,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/4/2015,NA,1021,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,5/4/2015,NA,446,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,5/4/2015,NA,997,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/4/2015,NA,474,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/4/2015,NA,467,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/4/2015,NA,1729,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,5/4/2015,NA,1728,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/4/2015,NA,1715,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,5/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/4/2015,NA,1017,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/4/2015,NA,1059,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,5/4/2015,NA,1040,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,6/1/2015,NA,950,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,6/1/2015,NA,1582,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,6/1/2015,NA,1609,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,6/1/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,6/1/2015,NA,1003,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,6/1/2015,NA,1376,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/1/2015,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/1/2015,NA,1582,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,6/1/2015,NA,998,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,6/1/2015,NA,1510,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/1/2015,NA,1556,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/1/2015,NA,1584,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/1/2015,NA,1719,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,6/1/2015,NA,1010,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/1/2015,NA,1570,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/1/2015,NA,1582,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/1/2015,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,6/1/2015,NA,659,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/1/2015,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/1/2015,NA,1523,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,6/1/2015,NA,493,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/1/2015,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/1/2015,NA,981,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,6/1/2015,NA,989,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/1/2015,NA,467,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/1/2015,NA,485,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/1/2015,NA,1747,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,6/1/2015,NA,1748,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/1/2015,NA,1722,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,6/1/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,6/1/2015,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/1/2015,NA,1581,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/1/2015,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,6/1/2015,NA,995,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,7/6/2015,NA,962,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,7/6/2015,NA,1642,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,7/6/2015,NA,1467,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,7/6/2015,NA,1502,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,7/6/2015,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,7/6/2015,NA,1531,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/6/2015,NA,1537,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/6/2015,NA,1385,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,7/6/2015,NA,978,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,7/6/2015,NA,1627,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/6/2015,NA,1466,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/6/2015,NA,1469,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/6/2015,NA,1742,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,7/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/6/2015,NA,983,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/6/2015,NA,1304,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/6/2015,NA,1460,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,7/6/2015,NA,643,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/6/2015,NA,1485,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/6/2015,NA,1476,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,7/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,7/6/2015,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/6/2015,NA,447,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/6/2015,NA,505,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/6/2015,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,7/6/2015,NA,1740,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/6/2015,NA,1743,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,7/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,7/6/2015,NA,971,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/6/2015,NA,1621,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/6/2015,NA,1432,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,7/6/2015,NA,978,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,8/3/2015,NA,973,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,8/3/2015,NA,1735,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,8/3/2015,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,8/3/2015,NA,1142,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,8/3/2015,NA,1041,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,8/3/2015,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/3/2015,NA,1560,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/3/2015,NA,1112,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,8/3/2015,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,8/3/2015,NA,1651,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/3/2015,NA,1046,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/3/2015,NA,1090,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/3/2015,NA,1774,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,8/3/2015,NA,979,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/3/2015,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/3/2015,NA,1104,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/3/2015,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,8/3/2015,NA,629,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/3/2015,NA,1066,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/3/2015,NA,1051,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,8/3/2015,NA,490,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/3/2015,NA,965,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/3/2015,NA,999,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,8/3/2015,NA,984,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/3/2015,NA,464,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/3/2015,NA,493,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/3/2015,NA,1818,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,8/3/2015,NA,1789,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/3/2015,NA,1806,NA,NA,NA,NA,NA,NA,NA,NA
Roos In,Roosevelt at Salt River Inlet,salt,SRNR,8/3/2015,NA,1664,NA,NA,NA,NA,NA,NA,NA,NA
Salt Gila,Salt Gila Pump Station,NA,SGPS,8/3/2015,NA,992,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/3/2015,NA,1623,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/3/2015,NA,1533,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,8/3/2015,NA,983,NA,NA,NA,NA,NA,NA,NA,NA
AN IN,Inlet to Anthem Water Treatment Plant,srp,az canal,8/31/2015,NA,984,NA,NA,NA,NA,NA,NA,NA,NA
CH IN,Inlet to Chandler Treatment Plant,srp,az canal,8/31/2015,NA,1705,NA,NA,NA,NA,NA,NA,NA,NA
Glendale In,Glendale WTP Inlet,srp,Glen In,8/31/2015,NA,1217,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,8/31/2015,NA,1271,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,8/31/2015,NA,1022,NA,NA,NA,NA,NA,NA,NA,NA
HOC,Head of Consolidated Canal,az canal,HOC,8/31/2015,NA,1581,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/31/2015,NA,1585,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/31/2015,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA
Mesa Turnout,Mesa Turnout,NA,MTO,8/31/2015,NA,994,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the consolidated canal,az canal,MOC,8/31/2015,NA,976,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/31/2015,NA,1208,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/31/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/31/2015,NA,1848,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,8/31/2015,NA,994,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/31/2015,NA,996,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/31/2015,NA,1216,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/31/2015,NA,1207,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,8/31/2015,NA,575,NA,NA,NA,NA,NA,NA,NA,NA
